"","cust","x","t.x","litt","sales","sales.x","first","T.cal","T.star","x.star","sales.star","first.sales","xstar.m1","xstar.m2"
"1",4,2,30.4285714285714,4.21950770517611,74.02,44.69,1997-01-01,38.8571428571429,39,1,26.48,0.02933,1.305,1.365
"2",18,0,0,0,14.96,0,1997-01-04,38.4285714285714,39,0,0,0.01496,0.14,0.15
"3",21,1,1.71428571428571,0.538996500732687,75.11,11.77,1997-01-01,38.8571428571429,39,0,0,0.06334,0.135,0.135
"4",50,0,0,0,6.79,0,1997-01-01,38.8571428571429,39,0,0,0.00679,0.145,0.155
"5",60,0,0,0,21.75,0,1997-02-01,34.4285714285714,39,0,0,0.02175,0.195,0.205
"6",71,0,0,0,13.97,0,1997-01-01,38.8571428571429,39,0,0,0.01397,0.12,0.15
"7",86,0,0,0,23.94,0,1997-01-01,38.8571428571429,39,0,0,0.02394,0.17,0.175
"8",111,7,29.4285714285714,7.21746097380641,552.18,516.19,1997-01-01,38.8571428571429,39,8,554.86,0.03599,3.5,3.58
"9",112,1,5,1.6094379124341,23.54,11.77,1997-01-01,38.8571428571429,39,0,0,0.01177,0.3,0.23
"10",113,0,0,0,32.91,0,1997-01-01,38.8571428571429,39,2,26.76,0.03291,0.13,0.11
"11",114,2,35.7142857142857,5.763205895127,67.46,51.1,1997-01-01,38.8571428571429,39,2,57.47,0.01636,1.5,1.57
"12",131,0,0,0,30.32,0,1997-01-01,38.8571428571429,39,0,0,0.03032,0.155,0.145
"13",133,5,24.4285714285714,6.51961527246491,166.19,147.2,1997-01-01,38.8571428571429,39,1,32.98,0.01899,1.965,2.09
"14",151,0,0,0,13.97,0,1997-01-01,38.8571428571429,39,0,0,0.01397,0.105,0.19
"15",166,0,0,0,29.53,0,1997-01-01,38.8571428571429,39,7,143.65,0.02953,0.13,0.235
"16",167,3,20.8571428571429,3.26902560855367,84,53.68,1997-01-19,36.2857142857143,39,4,102.46,0.03032,1.45,1.44
"17",181,0,0,0,43.7,0,1997-01-01,38.8571428571429,39,0,0,0.0437,0.11,0.145
"18",198,0,0,0,15.76,0,1997-01-01,38.8571428571429,39,0,0,0.01576,0.125,0.185
"19",208,0,0,0,63.25,0,1997-01-11,37.4285714285714,39,1,70.38,0.06325,0.17,0.13
"20",221,0,0,0,12.49,0,1997-01-01,38.8571428571429,39,0,0,0.01249,0.165,0.16
"21",226,3,28.2857142857143,6.6386746324809,111.16,75.23,1997-01-02,38.7142857142857,39,2,58.96,0.03593,1.83,1.745
"22",228,10,34.1428571428571,6.71774511746077,268.33,242.35,1997-01-01,38.8571428571429,39,2,71.46,0.02598,6.425,5.975
"23",234,1,4.85714285714286,1.58045037556085,23.96,9.99,1997-01-01,38.8571428571429,39,0,0,0.01397,0.23,0.26
"24",243,0,0,0,17.96,0,1997-01-02,38.7142857142857,39,0,0,0.01796,0.09,0.125
"25",256,2,14.5714285714286,3.94691726148866,79.58,64.59,1997-01-02,38.7142857142857,39,0,0,0.01499,0.72,0.655
"26",261,0,0,0,8.77,0,1997-01-02,38.7142857142857,39,0,0,0.00877,0.115,0.16
"27",281,0,0,0,14.7,0,1997-01-02,38.7142857142857,39,0,0,0.0147,0.13,0.135
"28",297,0,0,0,14.96,0,1997-01-02,38.7142857142857,39,0,0,0.01496,0.1,0.115
"29",312,0,0,0,87.74,0,1997-01-02,38.7142857142857,39,1,14.99,0.08774,0.16,0.095
"30",314,1,1.57142857142857,0.451985123743057,231.13,227.14,1997-01-02,38.7142857142857,39,0,0,0.00399,0.155,0.255
"31",333,0,0,0,15.9,0,1997-01-02,38.7142857142857,39,0,0,0.0159,0.115,0.11
"32",341,1,29.4285714285714,3.38196601973427,106.6,80.46,1997-01-02,38.7142857142857,39,0,0,0.02614,0.88,0.705
"33",350,0,0,0,46.37,0,1997-01-02,38.7142857142857,39,0,0,0.04637,0.19,0.135
"34",353,1,5.85714285714286,1.76766191764899,69.23,40.47,1997-01-02,38.7142857142857,39,0,0,0.02876,0.3,0.305
"35",367,0,0,0,44.77,0,1997-01-02,38.7142857142857,39,0,0,0.04477,0.125,0.15
"36",388,0,0,0,10.77,0,1997-01-02,38.7142857142857,39,0,0,0.01077,0.11,0.115
"37",408,0,0,0,25.99,0,1997-01-02,38.7142857142857,39,0,0,0.02599,0.145,0.225
"38",425,0,0,0,14.99,0,1997-01-02,38.7142857142857,39,0,0,0.01499,0.085,0.13
"39",429,1,27.1428571428571,3.30111392310517,42.91,31.14,1997-01-02,38.7142857142857,39,1,59.49,0.01177,0.885,0.715
"40",440,0,0,0,14.96,0,1997-01-02,38.7142857142857,39,0,0,0.01496,0.14,0.115
"41",441,5,36.1428571428571,9.24281538392886,149.81,87.36,1997-01-06,38.1428571428571,39,4,69.44,0.06245,3.32,3.3
"42",473,0,0,0,34.97,0,1997-01-02,38.7142857142857,39,0,0,0.03497,0.095,0.19
"43",487,0,0,0,11.77,0,1997-01-03,38.5714285714286,39,0,0,0.01177,0.15,0.08
"44",489,1,2.14285714285714,0.762140052046897,60.97,13.97,1997-01-02,38.7142857142857,39,0,0,0.047,0.185,0.12
"45",502,0,0,0,15.36,0,1997-01-02,38.7142857142857,39,1,16.99,0.01536,0.12,0.215
"46",516,0,0,0,14.99,0,1997-01-02,38.7142857142857,39,0,0,0.01499,0.17,0.07
"47",530,0,0,0,11.97,0,1997-01-03,38.5714285714286,39,0,0,0.01197,0.05,0.11
"48",542,0,0,0,45.67,0,1997-01-03,38.5714285714286,39,0,0,0.04567,0.105,0.145
"49",558,0,0,0,49.67,0,1997-01-03,38.5714285714286,39,0,0,0.04967,0.115,0.145
"50",562,1,24.4285714285714,3.19575340744735,23.93,14.96,1997-01-03,38.5714285714286,39,0,0,0.00897,0.635,0.845
"51",564,12,34.4285714285714,5.4684847795166,395.18,354.48,1997-01-03,38.5714285714286,39,10,262.69,0.0407,7.11,6.75
"52",581,0,0,0,14.37,0,1997-01-03,38.5714285714286,39,0,0,0.01437,0.135,0.165
"53",584,0,0,0,11.77,0,1997-01-17,36.5714285714286,39,0,0,0.01177,0.12,0.155
"54",612,0,0,0,12.49,0,1997-01-03,38.5714285714286,39,0,0,0.01249,0.105,0.2
"55",619,19,34,-2.79233754933139,601.33,560.23,1997-02-03,34.1428571428571,39,13,423.68,0.0411,16.595,14.63
"56",621,1,1.57142857142857,0.451985123743057,32.27,14.37,1997-01-03,38.5714285714286,39,0,0,0.0179,0.14,0.29
"57",636,0,0,0,27.92,0,1997-01-03,38.5714285714286,39,0,0,0.02792,0.065,0.21
"58",645,1,38.4285714285714,3.64880123054653,51.2,6.49,1997-01-04,38.4285714285714,39,2,49.98,0.04471,1.055,0.865
"59",656,0,0,0,55.1,0,1997-01-03,38.5714285714286,39,1,114.79,0.0551,0.055,0.11
"60",675,0,0,0,24.99,0,1997-01-03,38.5714285714286,39,0,0,0.02499,0.105,0.165
"61",687,0,0,0,12.97,0,1997-01-03,38.5714285714286,39,1,34.41,0.01297,0.075,0.175
"62",703,0,0,0,121.34,0,1997-01-04,38.4285714285714,39,0,0,0.12134,0.15,0.205
"63",719,0,0,0,34.98,0,1997-01-07,38,39,0,0,0.03498,0.11,0.14
"64",736,0,0,0,28.74,0,1997-01-03,38.5714285714286,39,0,0,0.02874,0.075,0.09
"65",755,0,0,0,52.99,0,1997-01-03,38.5714285714286,39,0,0,0.05299,0.09,0.22
"66",756,2,33.1428571428571,5.19431647040625,70.42,56.05,1997-01-03,38.5714285714286,39,0,0,0.01437,1.42,1.335
"67",760,1,4.28571428571429,1.45528723260684,27.13,15.36,1997-01-03,38.5714285714286,39,1,26.3,0.01177,0.25,0.2
"68",773,4,29.4285714285714,5.48741861032737,269.86,213.59,1997-01-04,38.4285714285714,39,3,124.94,0.05627,2.13,2.14
"69",775,0,0,0,186.67,0,1997-01-04,38.4285714285714,39,0,0,0.18667,0.115,0.15
"70",780,2,14.2857142857143,3.55593098193728,130.69,82.96,1997-01-10,37.5714285714286,39,1,11.49,0.04773,0.765,0.725
"71",789,1,16.1428571428571,2.78147766965703,70.47,43.13,1997-01-04,38.4285714285714,39,1,28.97,0.02734,0.62,0.68
"72",795,0,0,0,13.97,0,1997-01-04,38.4285714285714,39,0,0,0.01397,0.155,0.135
"73",816,0,0,0,35.31,0,1997-01-04,38.4285714285714,39,0,0,0.03531,0.12,0.18
"74",834,0,0,0,21.98,0,1997-01-04,38.4285714285714,39,0,0,0.02198,0.145,0.165
"75",836,2,21.1428571428571,4.03550406219917,326.04,266.96,1997-01-04,38.4285714285714,39,1,140.42,0.05908,0.99,1.01
"76",857,0,0,0,24.94,0,1997-01-04,38.4285714285714,39,0,0,0.02494,0.13,0.23
"77",858,0,0,0,26.73,0,1997-01-13,37.1428571428571,39,0,0,0.02673,0.165,0.11
"78",875,0,0,0,16.99,0,1997-01-04,38.4285714285714,39,0,0,0.01699,0.165,0.16
"79",881,3,29.2857142857143,5.08935845022578,164.82,127.88,1997-01-04,38.4285714285714,39,1,106.03,0.03694,1.85,1.815
"80",899,0,0,0,145.47,0,1997-01-04,38.4285714285714,39,0,0,0.14547,0.195,0.205
"81",913,0,0,0,12.77,0,1997-01-04,38.4285714285714,39,0,0,0.01277,0.145,0.155
"82",918,1,5.85714285714286,1.76766191764899,121.1,69.23,1997-01-04,38.4285714285714,39,1,15.49,0.05187,0.325,0.335
"83",936,0,0,0,14.99,0,1997-01-04,38.4285714285714,39,0,0,0.01499,0.165,0.1
"84",947,1,5.14285714285714,1.6376087894008,74.23,20.77,1997-01-04,38.4285714285714,39,0,0,0.05346,0.3,0.31
"85",958,0,0,0,117.1,0,1997-01-04,38.4285714285714,39,0,0,0.1171,0.205,0.235
"86",974,0,0,0,18.36,0,1997-01-04,38.4285714285714,39,0,0,0.01836,0.155,0.175
"87",989,0,0,0,14.96,0,1997-01-05,38.2857142857143,39,0,0,0.01496,0.12,0.21
"88",1012,3,16.8571428571429,4.71886323639295,74.62,60.65,1997-01-05,38.2857142857143,39,0,0,0.01397,1.01,0.815
"89",1014,0,0,0,96.36,0,1997-01-05,38.2857142857143,39,0,0,0.09636,0.08,0.17
"90",1034,0,0,0,33.96,0,1997-01-05,38.2857142857143,39,0,0,0.03396,0.12,0.205
"91",1035,1,7.42857142857143,2.00533356952611,108.93,42.09,1997-01-05,38.2857142857143,39,0,0,0.06684,0.305,0.355
"92",1050,0,0,0,21.76,0,1997-01-05,38.2857142857143,39,0,0,0.02176,0.11,0.085
"93",1062,0,0,0,14.96,0,1997-01-05,38.2857142857143,39,0,0,0.01496,0.14,0.195
"94",1080,0,0,0,14.99,0,1997-01-05,38.2857142857143,39,0,0,0.01499,0.125,0.155
"95",1099,7,26.4285714285714,4.36540808021238,208.36,193.4,1997-01-05,38.2857142857143,39,4,92.94,0.01496,2.795,3.02
"96",1101,0,0,0,0,0,1997-01-05,38.2857142857143,39,0,0,0,0.155,0.105
"97",1108,10,35.4285714285714,7.22205606020558,166.86,136.57,1997-01-05,38.2857142857143,39,4,23.95,0.0163,6.72,6.695
"98",1115,0,0,0,19.99,0,1997-01-06,38.1428571428571,39,0,0,0.01999,0.165,0.1
"99",1117,0,0,0,14.96,0,1997-01-27,35.1428571428571,39,0,0,0.01496,0.13,0.205
"100",1131,0,0,0,71.63,0,1997-01-05,38.2857142857143,39,0,0,0.07163,0.125,0.15
"101",1150,0,0,0,37.97,0,1997-01-05,38.2857142857143,39,0,0,0.03797,0.105,0.16
"102",1158,1,33.2857142857143,3.50512830451039,94.93,14.99,1997-01-05,38.2857142857143,39,0,0,0.07994,0.895,1.21
"103",1167,6,37.4285714285714,5.67331476727562,352.5,305.22,1997-01-05,38.2857142857143,39,1,62.79,0.04728,3.865,4.185
"104",1174,0,0,0,34.9,0,1997-01-05,38.2857142857143,39,0,0,0.0349,0.18,0.11
"105",1188,0,0,0,43.09,0,1997-01-05,38.2857142857143,39,0,0,0.04309,0.155,0.145
"106",1209,0,0,0,31.51,0,1997-01-05,38.2857142857143,39,0,0,0.03151,0.175,0.13
"107",1223,0,0,0,56.51,0,1997-01-05,38.2857142857143,39,0,0,0.05651,0.115,0.18
"108",1240,0,0,0,36.36,0,1997-01-05,38.2857142857143,39,0,0,0.03636,0.075,0.13
"109",1241,2,31.8571428571429,5.2394768665251,78.61,66.84,1997-01-05,38.2857142857143,39,2,53.96,0.01177,1.22,1.325
"110",1251,4,37.5714285714286,5.44653628580197,89.52,82.73,1997-01-05,38.2857142857143,39,3,112.53,0.00679,2.88,2.44
"111",1252,1,23.8571428571429,3.17208366336144,43.21,26.22,1997-01-05,38.2857142857143,39,0,0,0.01699,0.835,0.655
"112",1265,0,0,0,34.74,0,1997-01-06,38.1428571428571,39,0,0,0.03474,0.2,0.16
"113",1280,0,0,0,22.7,0,1997-01-06,38.1428571428571,39,0,0,0.0227,0.14,0.165
"114",1283,1,24.1428571428571,3.18398856586776,172.01,92.8,1997-01-06,38.1428571428571,39,0,0,0.07921,0.62,0.855
"115",1291,1,6.14285714285714,1.81528996663825,104.6,52.3,1997-01-06,38.1428571428571,39,0,0,0.0523,0.37,0.435
