"cust","sampleid","date","cds","sales"
4,1,1997-01-01,2,29.33
4,1,1997-01-18,2,29.73
4,1,1997-08-02,1,14.96
4,1,1997-12-12,2,26.48
21,2,1997-01-01,3,63.34
21,2,1997-01-13,1,11.77
50,3,1997-01-01,1,6.79
71,4,1997-01-01,1,13.97
86,5,1997-01-01,2,23.94
111,6,1997-01-01,1,35.99
111,6,1997-01-11,1,32.99
111,6,1997-03-15,4,77.96
111,6,1997-04-16,3,59.3
111,6,1997-04-24,2,134.98
111,6,1997-06-23,1,91.92
111,6,1997-07-22,3,47.08
111,6,1997-07-26,2,71.96
111,6,1997-10-25,3,78.47
111,6,1997-12-06,3,83.47
111,6,1998-01-18,4,84.46
111,6,1998-02-15,4,123.96
111,6,1998-02-21,2,32.98
111,6,1998-02-26,2,23.06
111,6,1998-05-10,1,72.99
111,6,1998-06-20,3,55.47
112,7,1997-01-01,1,11.77
112,7,1997-02-05,1,11.77
113,8,1997-01-01,3,32.91
113,8,1998-03-04,1,15.27
113,8,1998-03-07,1,11.49
114,9,1997-01-01,1,16.36
114,9,1997-05-01,2,28.13
114,9,1997-09-08,1,22.97
114,9,1998-02-10,1,28.49
114,9,1998-02-11,2,28.98
131,10,1997-01-01,2,30.32
133,11,1997-01-01,1,18.99
133,11,1997-01-27,1,14.37
133,11,1997-02-01,1,9.77
133,11,1997-03-02,1,15.99
133,11,1997-05-04,3,47.33
133,11,1997-06-21,3,59.74
133,11,1997-11-11,2,32.98
151,12,1997-01-01,1,13.97
166,13,1997-01-01,2,29.53
166,13,1997-11-30,2,16.48
166,13,1997-12-13,3,36.97
166,13,1997-12-21,2,17.98
166,13,1997-12-24,3,36.97
166,13,1998-02-24,1,11.49
166,13,1998-03-18,1,11.88
166,13,1998-05-27,1,11.88
181,14,1997-01-01,3,43.7
198,15,1997-01-01,1,15.76
221,16,1997-01-01,1,12.49
228,17,1997-01-01,2,25.98
228,17,1997-02-06,2,23.54
228,17,1997-02-11,1,13.97
228,17,1997-02-12,1,27.77
228,17,1997-02-28,1,9.98
228,17,1997-03-11,1,15.36
228,17,1997-05-27,1,21.97
228,17,1997-05-31,1,17.3
228,17,1997-07-08,3,51.75
228,17,1997-08-07,2,36.74
228,17,1997-08-28,1,23.97
228,17,1997-12-29,3,41.47
228,17,1998-01-06,1,29.99
234,18,1997-01-01,1,13.97
234,18,1997-02-04,1,9.99
226,19,1997-01-02,2,35.93
226,19,1997-02-23,2,26.73
226,19,1997-04-20,2,23.76
226,19,1997-07-19,2,24.74
226,19,1998-02-15,1,15.49
226,19,1998-05-05,3,43.47
243,20,1997-01-02,2,17.96
256,21,1997-01-02,1,14.99
256,21,1997-03-02,2,34.6
256,21,1997-04-14,1,29.99
261,22,1997-01-02,1,8.77
281,23,1997-01-02,1,14.7
297,24,1997-01-02,1,14.96
312,25,1997-01-02,2,87.74
312,25,1997-12-21,1,14.99
314,26,1997-01-02,1,3.99
314,26,1997-01-13,10,166.89
314,26,1997-01-13,4,60.25
333,27,1997-01-02,1,15.9
