cust,x,t_x,litt,sales,sales_x,first,T_cal,T_star,x_star,sales_star,age,first_sales_scaled,age_scaled,gender_binary
4,2,30.428571428571427,4.219507705176106,74.02,44.69,1997-01-01,38.857142857142854,39.00000000000001,1.0,26.48,56,-0.1058320289003088,1.2775481578937282,1
18,0,0.0,0.0,14.96,0.0,1997-01-04,38.42857142857143,39.0,0.0,0.0,24,-0.5360137969516056,-1.136853195689784,0
21,1,1.7142857142857142,0.5389965007326869,75.11,11.77,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,43,0.9122947582551962,0.2966976080004264,0
50,0,0.0,0.0,6.79,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,62,-0.7805917402347715,1.730248411690637,1
60,0,0.0,0.0,21.75,0.0,1997-02-01,34.42857142857143,39.0,0.0,0.0,50,-0.3327476727297332,0.8248479040968197,0
71,0,0.0,0.0,13.97,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,23,-0.5656505367129684,-1.2123032379892686,1
86,0,0.0,0.0,23.94,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,25,-0.2671876120455063,-1.0614031533902992,0
111,7,29.428571428571427,7.217460973806409,552.18,516.19,1997-01-01,38.857142857142854,39.00000000000001,8.0,554.86,32,0.0935424022215866,-0.5332528572939059,0
112,1,5.0,1.6094379124341003,23.54,11.77,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,48,-0.6315099584048859,0.6739478194978502,1
113,0,0.0,0.0,32.91,0.0,1997-01-01,38.857142857142854,39.00000000000001,2.0,26.759999999999998,35,0.001339211852902,-0.3069027303954516,1
114,2,35.714285714285715,5.763205895127002,67.46,51.099999999999994,1997-01-01,38.857142857142854,39.00000000000001,2.0,57.47,57,-0.4941032558749309,1.352998200193213,1
131,0,0.0,0.0,30.32,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,28,-0.0761952891389459,-0.835053026491845,1
133,5,24.428571428571427,6.519615272464913,166.19,147.20000000000002,1997-01-01,38.857142857142854,39.00000000000001,1.0,32.98,42,-0.4153713108523205,0.2212475657009416,1
151,0,0.0,0.0,13.97,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,31,-0.5656505367129684,-0.6087028995933906,1
166,0,0.0,0.0,29.53,0.0,1997-01-01,38.857142857142854,39.00000000000001,7.0,143.65,29,-0.0998448087464981,-0.7596029841923602,1
167,3,20.857142857142858,3.269025608553672,84.0,53.68,1997-01-19,36.285714285714285,39.00000000000001,4.0,102.46000000000001,42,-0.0761952891389459,0.2212475657009416,0
181,0,0.0,0.0,43.7,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,30,0.3243497391509881,-0.6841529418928755,0
198,0,0.0,0.0,15.76,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,43,-0.512064916336363,0.2966976080004264,1
208,0,0.0,0.0,63.25,0.0,1997-01-11,37.42857142857143,39.0,1.0,70.38,29,0.9096005091859812,-0.7596029841923602,0
221,0,0.0,0.0,12.49,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,21,-0.6099559658511674,-1.3632033225882385,1
226,3,28.285714285714285,6.638674632480901,111.16,75.23,1997-01-02,38.714285714285715,38.99999999999999,2.0,58.96,29,0.0917462361754434,-0.7596029841923602,0
228,10,34.142857142857146,6.717745117460768,268.33,242.35,1997-01-01,38.857142857142854,39.00000000000001,2.0,71.46,49,-0.2061179664766375,0.7493978617973349,1
234,1,4.857142857142857,1.580450375560848,23.96,9.99,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,25,-0.5656505367129684,-1.0614031533902992,1
243,0,0.0,0.0,17.96,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,64,-0.4462054946444455,1.8811484962896063,0
