cust,x,t_x,litt,sales,sales_x,first,T_cal,T_star,x_star,sales_star,age_scaled,gender_binary
4,2,30.428571428571427,4.219507705176106,74.02,44.69,1997-01-01,38.857142857142854,39.00000000000001,1.0,26.48,1.239425703056829,1
18,0,0.0,0.0,14.96,0.0,1997-01-04,38.42857142857143,39.0,0.0,0.0,-1.1466696623869983,0
21,1,1.7142857142857142,0.5389965007326869,75.11,11.77,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,0.2700744608452741,0
50,0,0.0,0.0,6.79,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,1.6868185840775465,1
60,0,0.0,0.0,21.75,0.0,1997-02-01,34.42857142857143,39.0,0.0,0.0,0.7920328220361113,0
71,0,0.0,0.0,13.97,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,-1.221235142557118,1
86,0,0.0,0.0,23.94,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,-1.0721041822168786,0
111,7,29.428571428571427,7.217460973806409,552.18,516.19,1997-01-01,38.857142857142854,39.00000000000001,8.0,554.86,-0.5501458210260415,0
112,1,5.0,1.6094379124341003,23.54,11.77,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,0.642901861695872,1
113,0,0.0,0.0,32.91,0.0,1997-01-01,38.857142857142854,39.00000000000001,2.0,26.759999999999998,-0.32644938051568273,1
114,2,35.714285714285715,5.763205895127002,67.46,51.099999999999994,1997-01-01,38.857142857142854,39.00000000000001,2.0,57.47,1.3139911832269484,1
131,0,0.0,0.0,30.32,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,-0.8484077417065199,1
133,5,24.428571428571427,6.519615272464913,166.19,147.20000000000002,1997-01-01,38.857142857142854,39.00000000000001,1.0,32.98,0.1955089806751545,1
151,0,0.0,0.0,13.97,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,-0.6247113011961611,1
166,0,0.0,0.0,29.53,0.0,1997-01-01,38.857142857142854,39.00000000000001,7.0,143.65,-0.7738422615364003,1
167,3,20.857142857142858,3.269025608553672,84.0,53.68,1997-01-19,36.285714285714285,39.00000000000001,4.0,102.46000000000001,0.1955089806751545,0
181,0,0.0,0.0,43.7,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,-0.6992767813662807,0
198,0,0.0,0.0,15.76,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,0.2700744608452741,1
208,0,0.0,0.0,63.25,0.0,1997-01-11,37.42857142857143,39.0,1.0,70.38,-0.7738422615364003,0
221,0,0.0,0.0,12.49,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,-1.370366102897357,1
226,3,28.285714285714285,6.638674632480901,111.16,75.23,1997-01-02,38.714285714285715,38.99999999999999,2.0,58.96,-0.7738422615364003,0
228,10,34.142857142857146,6.717745117460768,268.33,242.35,1997-01-01,38.857142857142854,39.00000000000001,2.0,71.46,0.7174673418659917,1
234,1,4.857142857142857,1.580450375560848,23.96,9.99,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,-1.0721041822168786,1
243,0,0.0,0.0,17.96,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,1.8359495444177858,0
256,2,14.571428571428571,3.946917261488655,79.58,64.59,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,1.1648602228867093,1
261,0,0.0,0.0,8.77,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,-0.9229732218766395,0
281,0,0.0,0.0,14.7,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,-0.9229732218766395,0
297,0,0.0,0.0,14.96,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,-0.10275294000532392,1
312,0,0.0,0.0,87.74,0.0,1997-01-02,38.714285714285715,38.99999999999999,1.0,14.99,0.642901861695872,1
314,1,1.5714285714285714,0.4519851237430572,231.13,227.14,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,1.1648602228867093,1
333,0,0.0,0.0,15.9,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,1.3139911832269484,0
341,1,29.428571428571427,3.381966019734268,106.6,80.46,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,-0.47558034085592193,0
350,0,0.0,0.0,46.37,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,0.642901861695872,1
353,1,5.857142857142857,1.7676619176489945,69.23,40.47,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,-0.40101486068580233,1
367,0,0.0,0.0,44.77,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,0.4192054211855133,0
388,0,0.0,0.0,10.77,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,0.4937709013556329,0
408,0,0.0,0.0,25.99,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,-0.6247113011961611,1
425,0,0.0,0.0,14.99,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,1.388556663397068,1
429,1,27.142857142857142,3.3011139231051727,42.91,31.14,1997-01-02,38.714285714285715,38.99999999999999,1.0,59.49,1.6868185840775465,0
440,0,0.0,0.0,14.96,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,-1.370366102897357,1
441,5,36.142857142857146,9.242815383928864,149.81,87.36,1997-01-06,38.142857142857146,38.99999999999999,4.0,69.44,-1.594062543407716,0
473,0,0.0,0.0,34.97,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,-0.2518839003455631,1
487,0,0.0,0.0,11.77,0.0,1997-01-03,38.57142857142857,39.0,0.0,0.0,0.3446399410153937,0
489,1,2.142857142857143,0.7621400520468967,60.97,13.97,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,-0.6992767813662807,1
502,0,0.0,0.0,15.36,0.0,1997-01-02,38.714285714285715,38.99999999999999,1.0,16.99,-0.40101486068580233,0
516,0,0.0,0.0,14.99,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,-0.8484077417065199,1
530,0,0.0,0.0,11.97,0.0,1997-01-03,38.57142857142857,39.0,0.0,0.0,-0.6247113011961611,0
542,0,0.0,0.0,45.67,0.0,1997-01-03,38.57142857142857,39.0,0.0,0.0,-0.028187459835204317,1
558,0,0.0,0.0,49.67,0.0,1997-01-03,38.57142857142857,39.0,0.0,0.0,0.3446399410153937,1
562,1,24.428571428571427,3.1957534074473464,23.93,14.96,1997-01-03,38.57142857142857,39.0,0.0,0.0,0.1955089806751545,1
564,12,34.42857142857143,5.468484779516603,395.18,354.4800000000001,1997-01-03,38.57142857142857,39.0,10.0,262.69,0.2700744608452741,1
581,0,0.0,0.0,14.37,0.0,1997-01-03,38.57142857142857,39.0,0.0,0.0,-0.32644938051568273,1
584,0,0.0,0.0,11.77,0.0,1997-01-17,36.57142857142857,39.0,0.0,0.0,1.388556663397068,1
612,0,0.0,0.0,12.49,0.0,1997-01-03,38.57142857142857,39.0,0.0,0.0,0.1955089806751545,0
619,19,34.0,-2.7923375493313887,601.33,560.23,1997-02-03,34.142857142857146,38.99999999999999,13.0,423.68,-1.594062543407716,0
