cust,x,t_x,litt,sales,sales_x,first,T_cal,T_star,x_star,sales_star,zone,state,gender,age_category,age
1,0,0.0,0.0,11.77,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Pacific,Oregon,M,young,26
2,0,0.0,0.0,89.0,0.0,1997-01-12,37.285714285714285,39.00000000000001,0.0,0.0,Eastern,New Jersey,M,medium,36
3,2,12.857142857142858,1.6727001092120672,61.06,40.3,1997-01-02,38.714285714285715,38.99999999999999,3.0,95.4,Central,Minnesota,M,young,17
4,2,30.428571428571427,4.219507705176106,74.02,44.69,1997-01-01,38.857142857142854,39.00000000000001,1.0,26.48,Eastern,Michigan,M,medium,56
5,7,36.714285714285715,10.453219345180703,261.21,231.87999999999997,1997-01-01,38.857142857142854,39.00000000000001,3.0,124.4,Eastern,New Jersey,M,medium,46
6,0,0.0,0.0,20.99,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Mountain,New Mexico,M,medium,35
7,0,0.0,0.0,28.74,0.0,1997-01-01,38.857142857142854,39.00000000000001,2.0,235.93,Central,Nebraska,F,,30
8,3,26.142857142857142,5.51633995637244,105.78999999999999,96.02,1997-01-01,38.857142857142854,39.00000000000001,3.0,91.87,Eastern,Indiana,M,young,20
9,1,18.857142857142858,2.9368917735310576,53.87,30.33,1997-01-01,38.857142857142854,39.00000000000001,1.0,41.98,Mountain,Colorado,M,medium,45
10,0,0.0,0.0,39.31,0.0,1997-01-21,36.0,39.0,0.0,0.0,Eastern,Ohio,F,medium,40
11,2,10.714285714285714,3.2752175788015934,45.56,32.07,1997-01-01,38.857142857142854,39.00000000000001,1.0,12.99,Eastern,New York,F,medium,40
12,0,0.0,0.0,57.06,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,North Carolina,F,medium,51
13,0,0.0,0.0,72.94,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,North Carolina,M,young,28
14,0,0.0,0.0,29.92,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Pacific,California,F,medium,55
15,0,0.0,0.0,52.87,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Louisiana,M,young,22
16,3,36.0,5.818550495689576,79.87,70.1,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Mountain,New Mexico,F,,30
17,0,0.0,0.0,73.22,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Kentucky,F,medium,37
18,0,0.0,0.0,14.96,0.0,1997-01-04,38.42857142857143,39.0,0.0,0.0,Central,Louisiana,F,young,24
19,1,22.857142857142858,3.1292636661785136,175.12,11.77,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Texas,M,medium,53
20,1,2.4285714285714284,0.8873031950009027,653.01,289.41,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Maryland,M,young,17
21,1,1.7142857142857142,0.5389965007326869,75.11,11.77,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Illinois,F,medium,43
22,0,0.0,0.0,14.37,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Louisiana,F,medium,38
23,0,0.0,0.0,24.74,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,North Dakota,F,young,25
24,0,0.0,0.0,47.28,0.0,1997-01-01,38.857142857142854,39.00000000000001,1.0,10.49,Central,Illinois,M,medium,37
25,2,32.57142857142857,4.797644114246063,51.11,26.15,1997-01-01,38.857142857142854,39.00000000000001,5.0,86.42,Central,Alabama,F,young,20
26,1,3.5714285714285716,1.2729656758128876,102.69,59.97,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Maryland,F,medium,41
27,1,0.7142857142857143,-0.3364722366212129,135.87,52.46,1997-01-07,38.0,39.0,0.0,0.0,Eastern,Florida,M,medium,36
28,2,9.428571428571429,3.0551556940247915,90.99,51.48,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Massachusetts,F,young,28
29,8,35.42857142857143,11.142788704392762,351.39,304.67,1997-01-01,38.857142857142854,39.00000000000001,2.0,84.42,Central,Texas,F,medium,44
30,1,6.285714285714286,1.8382794848629478,28.34,13.97,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Mountain,New Mexico,F,young,21
31,0,0.0,0.0,59.06,0.0,1997-01-01,38.857142857142854,39.00000000000001,3.0,117.99000000000001,Mountain,Arizona,F,young,21
32,1,3.2857142857142856,1.1895840668738364,66.33,16.36,1997-01-01,38.857142857142854,39.00000000000001,1.0,11.88,Eastern,Massachusetts,M,young,28
33,8,35.42857142857143,8.011715266954896,332.57,290.88,1997-01-01,38.857142857142854,39.00000000000001,16.0,712.9,Central,Iowa,F,young,29
34,0,0.0,0.0,23.14,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,New York,F,medium,48
35,1,38.42857142857143,3.648801230546526,42.22,15.49,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Missouri,M,medium,56
36,1,4.714285714285714,1.550597412411167,49.67999999999999,11.77,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Oklahoma,M,medium,40
37,3,28.428571428571427,6.373807237795292,88.73,57.47,1997-01-29,34.857142857142854,39.00000000000001,2.0,66.95,Central,Oklahoma,F,medium,46
38,0,0.0,0.0,12.49,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Ohio,M,medium,46
39,2,19.0,4.49799396397578,112.94,79.61,1997-01-01,38.857142857142854,39.00000000000001,2.0,108.50999999999999,Central,Alabama,F,young,21
40,4,36.57142857142857,7.9185395307540585,154.68,126.33999999999999,1997-01-01,38.857142857142854,39.00000000000001,6.0,164.26,Eastern,Pennsylvania,F,medium,57
41,0,0.0,0.0,17.99,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,North Carolina,M,medium,42
42,1,0.14285714285714285,-1.9459101490553135,38.32,11.77,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Illinois,F,young,19
43,2,8.428571428571429,2.5017704558400053,65.84,36.51,1997-01-01,38.857142857142854,39.00000000000001,2.0,51.480000000000004,Eastern,Michigan,F,medium,49
44,2,24.142857142857142,2.318779778914026,59.65,29.33,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Indiana,M,,30
45,0,0.0,0.0,14.37,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Mountain,Arizona,F,medium,34
46,4,33.57142857142857,6.998093062365384,261.91,220.38,1997-01-01,38.857142857142854,39.00000000000001,2.0,53.96,Mountain,Arizona,F,medium,35
47,13,31.428571428571427,5.412511448720185,330.87,292.96000000000004,1997-01-01,38.857142857142854,39.00000000000001,6.0,96.93,Eastern,New York,M,young,28
48,8,33.57142857142857,7.998736353378817,335.64,282.92,1997-01-01,38.857142857142854,39.00000000000001,11.0,314.28999999999996,Mountain,Colorado,M,medium,34
49,0,0.0,0.0,27.94,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Mountain,Colorado,F,,30
50,0,0.0,0.0,6.79,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Illinois,M,old,62
51,2,31.0,5.214935757608986,287.95,216.53,1997-01-27,35.142857142857146,38.99999999999999,2.0,79.42999999999999,Central,Illinois,M,,30
52,6,24.285714285714285,3.538013668818276,368.7,287.75,1997-01-02,38.714285714285715,38.99999999999999,1.0,76.98,Eastern,North Carolina,M,medium,39
53,1,32.857142857142854,3.492169159867882,34.36,14.37,1997-01-01,38.857142857142854,39.00000000000001,4.0,51.85,Central,Arkansas,M,,30
54,0,0.0,0.0,33.96,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Pacific,Oregon,F,young,25
55,1,1.2857142857142858,0.25131442828090617,81.45,15.36,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Iowa,M,medium,31
56,2,21.571428571428573,3.7860432025675843,65.23,37.5,1997-01-01,38.857142857142854,39.00000000000001,1.0,63.96,Mountain,Arizona,F,medium,40
57,0,0.0,0.0,57.86,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Mountain,Arizona,F,medium,35
58,0,0.0,0.0,20.99,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Mountain,New Mexico,M,medium,56
59,2,3.4285714285714284,0.9602099658089904,36.53,22.54,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Tennessee,F,young,24
60,0,0.0,0.0,21.75,0.0,1997-02-01,34.42857142857143,39.0,0.0,0.0,Eastern,New Jersey,F,medium,50
61,0,0.0,0.0,155.65,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,New York,M,medium,53
62,7,34.0,8.016059721913319,153.21,120.3,1997-01-01,38.857142857142854,39.00000000000001,3.0,83.94,Central,Minnesota,M,old,63
63,0,0.0,0.0,44.97,0.0,1997-01-01,38.857142857142854,39.00000000000001,3.0,75.94,Eastern,New York,F,young,24
64,5,37.142857142857146,6.790804882840991,109.31,97.53999999999999,1997-01-03,38.57142857142857,39.0,7.0,258.06,Central,Louisiana,F,old,76
65,0,0.0,0.0,18.77,0.0,1997-01-01,38.857142857142854,39.00000000000001,2.0,49.97,Eastern,New Jersey,F,old,67
66,0,0.0,0.0,39.99,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Pacific,Oregon,M,medium,31
67,2,2.2857142857142856,0.251314428280906,71.49,41.76,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Delaware,M,medium,35
68,0,0.0,0.0,40.36,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Florida,F,young,26
69,1,0.42857142857142855,-0.8472978603872037,217.07999999999998,111.77,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Tennessee,M,medium,52
70,0,0.0,0.0,72.23,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Wisconsin,F,medium,42
71,0,0.0,0.0,13.97,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Texas,M,young,23
72,0,0.0,0.0,11.99,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Pacific,California,F,young,29
73,2,10.571428571428571,2.9412114346755738,94.57,80.6,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,New Jersey,M,medium,57
74,0,0.0,0.0,41.99,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,New Jersey,F,medium,41
75,0,0.0,0.0,69.81,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Pacific,California,M,medium,45
76,0,0.0,0.0,9.99,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Pennsylvania,M,young,18
77,0,0.0,0.0,12.97,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Indiana,F,medium,56
78,0,0.0,0.0,41.52,0.0,1997-01-13,37.142857142857146,38.99999999999999,1.0,53.74,Central,Minnesota,F,medium,48
79,0,0.0,0.0,77.44,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Michigan,F,medium,34
80,0,0.0,0.0,43.46,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Mountain,Idaho,M,medium,37
81,13,38.42857142857143,10.562553629254607,430.69,355.93,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Texas,F,old,61
82,2,38.42857142857143,5.871715293998056,117.98,79.48,1997-01-01,38.857142857142854,39.00000000000001,3.0,124.82,Central,Missouri,F,young,19
83,2,29.0,4.508839077049659,80.19,67.19,1997-01-01,38.857142857142854,39.00000000000001,1.0,21.49,Central,Texas,F,medium,44
84,0,0.0,0.0,13.97,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,New York,F,young,20
85,0,0.0,0.0,26.31,0.0,1997-01-03,38.57142857142857,39.0,0.0,0.0,Eastern,Pennsylvania,F,medium,50
86,0,0.0,0.0,23.94,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Pacific,Nevada,F,young,25
87,2,30.142857142857142,5.229688860158941,178.57,75.2,1997-01-01,38.857142857142854,39.00000000000001,1.0,27.98,Central,Oklahoma,M,young,18
88,0,0.0,0.0,14.99,0.0,1997-02-24,31.142857142857142,39.0,1.0,19.98,Central,Minnesota,M,medium,59
89,7,33.42857142857143,9.48826558663649,279.07,231.99,1997-01-01,38.857142857142854,39.00000000000001,10.0,292.81,Mountain,Colorado,M,medium,38
90,1,1.0,0.0,24.67,11.77,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Illinois,M,medium,41
91,0,0.0,0.0,32.54,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Mountain,Colorado,M,medium,36
92,1,15.0,2.70805020110221,53.339999999999996,17.36,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Massachusetts,M,medium,46
93,1,0.2857142857142857,-1.252762968495368,219.32999999999998,97.24,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Mountain,Idaho,F,medium,40
94,0,0.0,0.0,44.1,0.0,1997-01-02,38.714285714285715,38.99999999999999,0.0,0.0,Mountain,Colorado,F,medium,46
95,16,37.285714285714285,9.802331147905116,695.02,641.49,1997-01-03,38.57142857142857,39.0,11.0,820.25,Eastern,New York,M,medium,33
96,9,30.571428571428573,8.40548433529987,570.63,512.96,1997-01-01,38.857142857142854,39.00000000000001,9.0,875.36,Mountain,Colorado,M,medium,47
97,0,0.0,0.0,91.57,0.0,1997-01-01,38.857142857142854,39.00000000000001,3.0,233.18,Eastern,Pennsylvania,F,medium,50
98,1,20.285714285714285,3.0099169085459474,76.46000000000001,30.32,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Kentucky,M,medium,31
99,3,29.428571428571427,6.139117695484021,135.31,109.37,1997-01-01,38.857142857142854,39.00000000000001,3.0,131.94,Eastern,North Carolina,M,medium,37
100,0,0.0,0.0,13.77,0.0,1997-01-01,38.857142857142854,39.00000000000001,2.0,41.47,Mountain,Arizona,F,young,25
101,0,0.0,0.0,23.54,0.0,1997-01-18,36.42857142857143,39.0,0.0,0.0,Eastern,Pennsylvania,F,medium,47
102,1,5.714285714285714,1.742969305058623,40.36,25.99,1997-01-01,38.857142857142854,39.00000000000001,2.0,117.11,Eastern,Ohio,M,medium,35
103,1,6.857142857142857,1.9252908618525775,80.83,29.75,1997-02-17,32.142857142857146,38.99999999999999,1.0,29.66,Mountain,Arizona,F,young,28
104,0,0.0,0.0,14.96,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Central,Alabama,M,old,64
105,0,0.0,0.0,35.31,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,New Jersey,F,young,17
106,2,25.142857142857142,4.0611464928125045,92.16,60.64,1997-01-01,38.857142857142854,39.00000000000001,3.0,109.94,Eastern,Florida,M,medium,51
107,0,0.0,0.0,21.99,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Massachusetts,M,medium,36
108,0,0.0,0.0,17.96,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Eastern,Rhode Island,M,medium,42
109,1,3.0,1.0986122886681098,204.45999999999998,132.57,1997-01-12,37.285714285714285,39.00000000000001,0.0,0.0,Central,Missouri,M,old,78
110,0,0.0,0.0,27.94,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Mountain,Arizona,M,medium,41
111,7,29.428571428571427,7.217460973806409,552.18,516.19,1997-01-01,38.857142857142854,39.00000000000001,8.0,554.86,Eastern,Georgia,F,medium,32
112,1,5.0,1.6094379124341003,23.54,11.77,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,Pacific,Washington,M,medium,48
