cust,x,t_x,litt,sales,sales_x,first,T_cal,T_star,x_star,sales_star,age,first_sales_scaled,age_scaled,gender_binary
1,0,0.0,0.0,11.77,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,26,-0.6315099584048859,-0.9859531110908145,1
2,0,0.0,0.0,89.0,0.0,1997-01-12,37.285714285714285,39.00000000000001,0.0,0.0,36,-0.6246246552280036,-0.2314526880959669,1
3,2,12.857142857142858,1.6727001092120672,61.06,40.3,1997-01-02,38.714285714285715,38.99999999999999,3.0,95.4,17,-0.3623844124910961,-1.6650034917861773,1
4,2,30.428571428571427,4.219507705176106,74.02,44.69,1997-01-01,38.857142857142854,39.00000000000001,1.0,26.48,56,-0.10583202890030885,1.2775481578937282,1
5,7,36.714285714285715,10.453219345180703,261.21,231.87999999999997,1997-01-01,38.857142857142854,39.00000000000001,3.0,124.4,46,-0.10583202890030885,0.5230477348988807,1
6,0,0.0,0.0,20.99,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,35,-0.3554991093142139,-0.30690273039545163,1
7,0,0.0,0.0,28.74,0.0,1997-01-01,38.857142857142854,39.00000000000001,2.0,235.93,30,-0.12349432835405035,-0.6841529418928755,0
8,3,26.142857142857142,5.51633995637244,105.78999999999999,96.02,1997-01-01,38.857142857142854,39.00000000000001,3.0,91.87,20,-0.6913821599429926,-1.438653364887723,1
9,1,18.857142857142858,2.9368917735310576,53.87,30.33,1997-01-01,38.857142857142854,39.00000000000001,1.0,41.98,45,-0.2791620523531278,0.4475976925993959,1
10,0,0.0,0.0,39.31,0.0,1997-01-21,36.0,39.0,0.0,0.0,40,0.19293025677484388,0.07034748110197214,0
11,2,10.714285714285714,3.2752175788015934,45.56,32.07,1997-01-01,38.857142857142854,39.00000000000001,1.0,12.99,40,-0.580019865082114,0.07034748110197214,0
12,0,0.0,0.0,57.06,0.0,1997-01-01,38.857142857142854,39.00000000000001,0.0,0.0,51,0.724296045425541,0.9002979463963044,0
